species	genus	family	order	class	phylum	superkingdom	92_Mock_10E02.fasta	62_-_Mock_8x102	91_Mock_10E02.fasta	29_-_Mock8x102	61_-_Mock_8x102	barcode95	barcode96	30_-_Mock8x102	53_-_Mock_8x102	54_-_Mock_8x102
Alcaligenes aquatilis	Alcaligenes	Alcaligenaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria									19.01763795771016	
Citrobacter amalonaticus	Citrobacter	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria									18.536510120824044	30.17428159456396
Citrobacter freundii complex sp. CFNIH2	Citrobacter	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	34.026666666666664		132.00205687573043	2.0				28.245853481006	127.59902365947512	63.27618715543604
Cutibacterium acnes	Cutibacterium	Propionibacteriaceae	Propionibacteriales	Actinobacteria	Actinobacteria	Bacteria	86.06745098039215	134.0	362.0056408258668	2.0	24.0	334.0	186.10939713941988	17.06019474771319	119.1104693140794	98.4746875
Enterobacter cloacae	Enterobacter	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria			26.61090316171841						18.59696254568504	
Enterobacter kobei	Enterobacter	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	102.08		739.4010332815801	5.140050077910834				11.038949542637946	191.58383823094684	106.51345254080884
Enterobacter sp. ODB01	Enterobacter	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria				2.8599499220891667						
Enterococcus faecalis	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria	315.2470588235294	1287.999999999999	3533.0550525902445	42.0	215.0	5835.0	4203.470846143564	620.1472121508173	1192.1056214543578	749.6134375
Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	1222.958431372549	2414.0	12694.197320595376	151.6952126610058	347.0	13839.0	11344.668520251302	1355.673061261357	1443.3527732034258	944.5531249992496
Ewingella americana	Ewingella	Yersiniaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	85.06666666666668		1245.019397970892	10.0				91.3346570353489	658.5952386371566	507.4460937499658
Lelliottia amnigena	Lelliottia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria									15.01392470345539	41.19857870997599
Ochrobactrum anthropi	Ochrobactrum	Brucellaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria									28.02599277978339	34.1646875
Pseudomonas monteilii	Pseudomonas	Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria			16.000249318270356							
Serratia liquefaciens	Serratia	Yersiniaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria									37.0646688553935	
Serratia proteamaculans	Serratia	Yersiniaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	59.04627450980392		548.009023214037	9.0				72.20644592662585	438.3918718022766	251.2109375
Shigella dysenteriae	Shigella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria				1.30478733899416						
Staphylococcus argenteus	Staphylococcus	Staphylococcaceae	Bacillales	Bacilli	Firmicutes	Bacteria				1.7166746284231005						
Staphylococcus aureus	Staphylococcus	Staphylococcaceae	Bacillales	Bacilli	Firmicutes	Bacteria	856.0395159636284	1212.8794471658302	10786.892937471002	88.39791648297313	161.1476833767091	3660.633557202481	2225.90192738472	941.0692419106985	649.2897288531598	497.995646897723
Staphylococcus epidermidis	Staphylococcus	Staphylococcaceae	Bacillales	Bacilli	Firmicutes	Bacteria	2707.7534252128426	3090.12055283417	26751.691994356028	273.88540888860376	482.8523166232909	22494.36644279752	14588.982045353152	2980.809512300243	3484.544206164884	2296.474821852277
Streptococcus mitis	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria	911.7145098039216	1251.000000000001	7341.114390339245	97.90126895839848	135.0	8004.0	4877.867263727842	684.4148716435525	1263.1715317173864	809.9040625
Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria				1.0987310416014804						
Streptomyces sampsonii	Streptomyces	Streptomycetaceae	Streptomycetales	Actinobacteria	Actinobacteria	Bacteria						120.0				
unassigned							0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
